RawMaterial,Description,Manufactur,ManufacturPN,QPA,Vendor#,Vendor name,LeadTime,Usage,FinishedGood
01106088-AL1,PCB FR4 4L 2P X1312 Fender LH Rev:05,,,1,,,121,100,6971-0009-05
01106088-AL1 1,PCB FR4 4L 2P X1312 Fender LH Rev:05,RAYBEN,39000EA,1,12529,Rayben technologies (HK) limited,121,100,6971-0009-05
01106088-AL1 2,PCB FR4 4L 2P X1312 Fender LH Rev:05,ONPRESS,S00432062BTA0,1,12449,Onpress PCB Limited,121,100,6971-0009-05
04-011723-01,S/P Sn96.5/Ag3.0/Cu0.5 TLF-204-111M,TAMURA,TLF-204-111M,0.6,10076,PROVEEDORA DE AISLANTES ELECTRICOS,35,100,6971-0009-05
06210044-AL1,CER CHIP C;100P 5% C0G 0603 50V,,,2,,,154,100,6971-0009-05
06210044-AL1 1,CER CHIP C;100P 5% C0G 0603 50V,VISHAY,VJ0603A101JBAAT31X,2,,,154,100,6971-0009-05
06210044-AL1 2,CER CHIP C;100P 5% C0G 0603 50V,TDK,CGA3E2C0G1H101JT0Y0S,2,12026,TDK TAIWAN ELECTRONICS CORP.,154,100,6971-0009-05
06215690-AL1,CER CHIP C;100P 5% C0G 0603 50V,,,5,,,126,100,6971-0009-05
06215690-AL1 1,CER CHIP C;100P 5% C0G 0603 50V,TDK,CGA3E2C0G1H101JT0Y0S,5,12026,TDK TAIWAN ELECTRONICS CORP.,126,100,6971-0009-05
06215724-AL1,CER CHIP C;0.1U 10% X7R 0805 100V,,,3,,,112,100,6971-0009-05
06215724-AL1 1,CER CHIP C;0.1U 10% X7R 0805 100V,TDK,CGA4J2X7R2A104KT0Y0S,3,12026,TDK TAIWAN ELECTRONICS CORP.,112,100,6971-0009-05
06215724-AL1 2,CER CHIP C;0.1U 10% X7R 0805 100V,MURATA,GCJ21BR72A104KA01L,3,13271,"MuRata Electronics North America, I",112,100,6971-0009-05
06215724-AL1 3,CER CHIP C;0.1U 10% X7R 0805 100V,VISHAY,VJ0805Y104KBBBC31X,3,,,112,100,6971-0009-05
06215724-AL1 4,CER CHIP C;0.1U 10% X7R 0805 100V,SAMSUNG,CL21B104KCFWPNE,3,,,112,100,6971-0009-05
06215731-ALC,CER CHIP C;0.01U 10% X7R 0603 100V Auto,,,5,,,112,100,6971-0009-05
06215731-ALC 1,CER CHIP C;0.01U 10% X7R 0603 100V Auto,TDK,CGA3E2X7R2A103KT0Y0S,5,,,112,100,6971-0009-05
06215731-ALC 2,CER CHIP C;0.01U 10% X7R 0603 100V Auto,MURATA,GCJ188R72A103KA01D,5,13271,"MuRata Electronics North America, I",112,100,6971-0009-05
06215732-ALC,CER CHIP C;1U 10% X7R 1206 50V,,,13,,,112,100,6971-0009-05
06215732-ALC 1,CER CHIP C;1U 10% X7R 1206 50V,MURATA,GCJ31MR71H105KA12L,13,13271,"MuRata Electronics North America, I",112,100,6971-0009-05
06215732-ALC 2,CER CHIP C;1U 10% X7R 1206 50V,TDK,CGA5L3X7R1H105KT0Y0S,13,,,112,100,6971-0009-05
06215733-AL1,CER CHIP C;0.01U 10% X7R 0805 100V,,,6,,,154,100,6971-0009-05
06215733-AL1 1,CER CHIP C;0.01U 10% X7R 0805 100V,MURATA,GCJ216R72A103KA01D,6,13271,"MuRata Electronics North America, I",154,100,6971-0009-05
06215733-AL1 2,CER CHIP C;0.01U 10% X7R 0805 100V,VISHAY,VJ0805Y103KBBBE31,6,,,154,100,6971-0009-05
06215733-AL1 3,CER CHIP C;0.01U 10% X7R 0805 100V,TDK,CGA4F2X7R2A103KT0Y0S,6,12026,TDK TAIWAN ELECTRONICS CORP.,154,100,6971-0009-05
06215757-ALC,CER CHIP C;0.01U 10% X7R 0603 100V AUTO,,,43,,,112,100,6971-0009-05
06215757-ALC 1,CER CHIP C;0.01U 10% X7R 0603 100V AUTO,TAIYOYUDEN,HMK107B7103KAHT,43,,,112,100,6971-0009-05
06215757-ALC 2,CER CHIP C;0.01U 10% X7R 0603 100V AUTO,VISHAY,VJ0603Y103KXBAP31X,43,,,112,100,6971-0009-05
06215757-ALC 3,CER CHIP C;0.01U 10% X7R 0603 100V AUTO,TDK,CGA3E2X7R2A103KT0Y0N,43,,,112,100,6971-0009-05
06215757-ALC 4,CER CHIP C;0.01U 10% X7R 0603 100V AUTO,MURATA,GCM188R72A103KA37D,43,13271,"MuRata Electronics North America, I",112,100,6971-0009-05
06215757-ALC 5,CER CHIP C;0.01U 10% X7R 0603 100V AUTO,SAMSUNG,CL10B103KC85PBL,43,,,112,100,6971-0009-05
06215770-ALC,CER CHIP C;0.1U 10% X7R 0603 50V,,,2,,,126,100,6971-0009-05
06215770-ALC 1,CER CHIP C;0.1U 10% X7R 0603 50V,SAMSUNG,CL10B104KB85PBL,2,,,126,100,6971-0009-05
06215770-ALC 2,CER CHIP C;0.1U 10% X7R 0603 50V,VISHAY,VJ0603Y104KXAAC31X,2,,,126,100,6971-0009-05
06215770-ALC 3,CER CHIP C;0.1U 10% X7R 0603 50V,MURATA,GCM188R71H104KA57D,2,13271,"MuRata Electronics North America, I",126,100,6971-0009-05
06215770-ALC 4,CER CHIP C;0.1U 10% X7R 0603 50V,TDK,CGA3E2X7R1H104KT0Y0N,2,12026,TDK TAIWAN ELECTRONICS CORP.,126,100,6971-0009-05
06216351-AL1,CER CHIP C;0.01U 10% X7R 0402 50V,,,1,,,98,100,6971-0009-05
06216351-AL1 1,CER CHIP C;0.01U 10% X7R 0402 50V,TDK,CGA2B3X7R1H103KT0Y0S,1,,,98,100,6971-0009-05
06216351-AL1 2,CER CHIP C;0.01U 10% X7R 0402 50V,YAGEO,AC0402KRX7R9BB103,1,,,98,100,6971-0009-05
06216351-AL1 3,CER CHIP C;0.01U 10% X7R 0402 50V,MURATA,GCM155R71H103KA55D,1,,,98,100,6971-0009-05
06216351-AL1 4,CER CHIP C;0.01U 10% X7R 0402 50V,TAIYOYUDEN,MCASU105SB7103KFNA01,1,,,98,100,6971-0009-05
06216351-AL1 5,CER CHIP C;0.01U 10% X7R 0402 50V,WALSIN,MT15B103K500CT,1,,,98,100,6971-0009-05
06216351-AL1 6,CER CHIP C;0.01U 10% X7R 0402 50V,SAMSUNG,CL05B103KB5VPNC,1,,,98,100,6971-0009-05
06216351-AL1 7,CER CHIP C;0.01U 10% X7R 0402 50V,FENGHUA,AM02B103K500AT,1,,,98,100,6971-0009-05
06216351-AL1 8,CER CHIP C;0.01U 10% X7R 0402 50V,VIIYONG,A103K0402X7R500NBT,1,,,98,100,6971-0009-05
06220098-ALC,CER CHIP C;0.22U 10% X7R 0603 50V,,,1,,,126,100,6971-0009-05
06220098-ALC 1,CER CHIP C;0.22U 10% X7R 0603 50V,MURATA,GCM188R71H224KA64D,1,,,126,100,6971-0009-05
06220098-ALC 2,CER CHIP C;0.22U 10% X7R 0603 50V,TDK,CGA3E3X7R1H224KT0Y0N,1,,,126,100,6971-0009-05
06220098-ALC 3,CER CHIP C;0.22U 10% X7R 0603 50V,TAIYOYUDEN,UMK107 C7224KAHTE,1,,,126,100,6971-0009-05
06225696-ALC,CER CHIP C;2.2U 10% X7R 0805 25V,,,2,,,112,100,6971-0009-05
06225696-ALC 1,CER CHIP C;2.2U 10% X7R 0805 25V,MURATA,GCJ21BR71E225KA01L,2,13271,"MuRata Electronics North America, I",112,100,6971-0009-05
06225696-ALC 2,CER CHIP C;2.2U 10% X7R 0805 25V,TDK,CGA4J3X7R1E225KT0Y0S,2,,,112,100,6971-0009-05
06225696-ALC 3,CER CHIP C;2.2U 10% X7R 0805 25V,IHHEC,ACC0805X225K025TX,2,,,112,100,6971-0009-05
06225734-ALC,CER CHIP C;2.2U 10% X7R 1206 50V,,,2,,,112,100,6971-0009-05
06225734-ALC 1,CER CHIP C;2.2U 10% X7R 1206 50V,MURATA,GCJ31CR71H225KA12L,2,13271,"MuRata Electronics North America, I",112,100,6971-0009-05
06225734-ALC 2,CER CHIP C;2.2U 10% X7R 1206 50V,TDK,CGA5L3X7R1H225KT0Y0S,2,,,112,100,6971-0009-05
06225750-ALC,CER CHIP C;0.022U 10% X7R 0603 100V,,,2,,,112,100,6971-0009-05
06225750-ALC 1,CER CHIP C;0.022U 10% X7R 0603 100V,YAGEO,AC0603KRX7R0BB223,2,10184,YAGEO CORPORATION,112,100,6971-0009-05
06225750-ALC 2,CER CHIP C;0.022U 10% X7R 0603 100V,TAIYOYUDEN,HMK107B7223KAHT,2,,,112,100,6971-0009-05
06225750-ALC 3,CER CHIP C;0.022U 10% X7R 0603 100V,SAMSUNG,CL10B223KC85PBL,2,,,112,100,6971-0009-05
06225750-ALC 4,CER CHIP C;0.022U 10% X7R 0603 100V,MURATA,GCM188R72A223KA37D,2,13271,"MuRata Electronics North America, I",112,100,6971-0009-05
06225750-ALC 5,CER CHIP C;0.022U 10% X7R 0603 100V,TDK,CGA3E2X7R2A223KT0Y0N,2,,,112,100,6971-0009-05
06225750-ALC 6,CER CHIP C;0.022U 10% X7R 0603 100V,VISHAY,VJ0603Y223KXBAP31,2,,,112,100,6971-0009-05
06225768-AL1,CER CHIP C;2200PF 10% X7R 0603 100V,,,1,,,154,100,6971-0009-05
06225768-AL1 1,CER CHIP C;2200PF 10% X7R 0603 100V,TAIYOYUDEN,HMK107B7222KAHT,1,,,154,100,6971-0009-05
06225768-AL1 2,CER CHIP C;2200PF 10% X7R 0603 100V,MURATA,GCM188R72A222KA37D,1,10646,MOUSER ELECTRONICS INC.,154,100,6971-0009-05
06225768-AL1 3,CER CHIP C;2200PF 10% X7R 0603 100V,TDK,CGA3E2X7R2A222KT0Y0N,1,12026,TDK TAIWAN ELECTRONICS CORP.,154,100,6971-0009-05
06225768-AL1 4,CER CHIP C;2200PF 10% X7R 0603 100V,VISHAY,VJ0603Y222KXBAC31X,1,,,154,100,6971-0009-05
06226350-AL1,CER CHIP C;2.2U 10% X7R 1206 50V,,,1,,,98,100,6971-0009-05
06226350-AL1 1,CER CHIP C;2.2U 10% X7R 1206 50V,TDK,CGA5L3X7R1H225KT0Y0N,1,,,98,100,6971-0009-05
06226350-AL1 2,CER CHIP C;2.2U 10% X7R 1206 50V,MURATA,GCM31CR71H225KA55L,1,,,98,100,6971-0009-05
06226350-AL1 3,CER CHIP C;2.2U 10% X7R 1206 50V,WALSIN,MT31B225K500CT,1,,,98,100,6971-0009-05
06226350-AL1 4,CER CHIP C;2.2U 10% X7R 1206 50V,SAMSUNG,CL31B225KBH4PBF,1,12499,SAMSUNG ELECTRO-MECHANICS,98,100,6971-0009-05
06226350-AL1 5,CER CHIP C;2.2U 10% X7R 1206 50V,VIIYONG,A225K1206X7R500N1P,1,,,98,100,6971-0009-05
06240119-AL1,CER CHIP C;4.7U 10% X7R 0805 16V,,,1,,,126,100,6971-0009-05
06240119-AL1 1,CER CHIP C;4.7U 10% X7R 0805 16V,MURATA,GCM21BR71C475KA73L,1,13271,"MuRata Electronics North America, I",126,100,6971-0009-05
06240119-AL1 2,CER CHIP C;4.7U 10% X7R 0805 16V,TDK,CGA4J3X7R1C475KT0Y0N,1,,,126,100,6971-0009-05
06240119-AL1 3,CER CHIP C;4.7U 10% X7R 0805 16V,SAMSUNG,CL21B475KOQVPNE,1,,,126,100,6971-0009-05
06245717-AL1,CER CHIP C;0.47U 10% X7R 0805 50V Auto,,,1,,,154,100,6971-0009-05
06245717-AL1 1,CER CHIP C;0.47U 10% X7R 0805 50V Auto,TDK,CGA4J3X7R1H474KT0Y0S,1,12026,TDK TAIWAN ELECTRONICS CORP.,154,100,6971-0009-05
06245717-AL1 2,CER CHIP C;0.47U 10% X7R 0805 50V Auto,MURATA,GCJ21BR71H474KA12L,1,13271,"MuRata Electronics North America, I",154,100,6971-0009-05
06245741-AL1,CER CHIP C;4700P 10% X7R 0603 100V,,,2,,,98,100,6971-0009-05
06245741-AL1 1,CER CHIP C;4700P 10% X7R 0603 100V,MURATA,GCM188R72A472KA37D,2,,,98,100,6971-0009-05
06245741-AL1 2,CER CHIP C;4700P 10% X7R 0603 100V,TDK,CGA3E2X7R2A472KT0Y0N,2,12026,TDK TAIWAN ELECTRONICS CORP.,98,100,6971-0009-05
06245741-AL1 3,CER CHIP C;4700P 10% X7R 0603 100V,SAMSUNG,CL10B472KC85PBL,2,12499,SAMSUNG ELECTRO-MECHANICS,98,100,6971-0009-05
06245741-AL1 4,CER CHIP C;4700P 10% X7R 0603 100V,TAIYOYUDEN,HMK107B7472KAHT,2,,,98,100,6971-0009-05
06315689-ALC,CER CHIP C;1000P 10% X7R 0603 100V,,,15,,,154,100,6971-0009-05
06315689-ALC 1,CER CHIP C;1000P 10% X7R 0603 100V,MURATA,GCM188R72A102KA37D,15,13271,"MuRata Electronics North America, I",154,100,6971-0009-05
06315689-ALC 2,CER CHIP C;1000P 10% X7R 0603 100V,VISHAY,VJ0603Y102KXBAC31X,15,,,154,100,6971-0009-05
06315689-ALC 3,CER CHIP C;1000P 10% X7R 0603 100V,TAIYOYUDEN,HMK107B7102KAHT,15,,,154,100,6971-0009-05
06315689-ALC 4,CER CHIP C;1000P 10% X7R 0603 100V,SAMSUNG,CL10B102KC85PBL,15,,,154,100,6971-0009-05
06315689-ALC 5,CER CHIP C;1000P 10% X7R 0603 100V,TDK,CGA3E2X7R2A102KT0Y0N,15,12026,TDK TAIWAN ELECTRONICS CORP.,154,100,6971-0009-05
06315702-ALC,CER CHIP C;10U 10% X7S 1210 50V,,,1,,,112,100,6971-0009-05
06315702-ALC 1,CER CHIP C;10U 10% X7S 1210 50V,TDK,CGA6P3X7S1H106KT0Y0S,1,12026,TDK TAIWAN ELECTRONICS CORP.,112,100,6971-0009-05
06315702-ALC 2,CER CHIP C;10U 10% X7S 1210 50V,MURATA,GCJ32EC71H106KA01L,1,13271,"MuRata Electronics North America, I",112,100,6971-0009-05
06315702-ALC 3,CER CHIP C;10U 10% X7S 1210 50V,SAMSUNG,CL32Y106KBJVPNE,1,,,112,100,6971-0009-05
06315729-ALC,CER CHIP C;10U 10% X7R 1206 25V,,,2,,,112,100,6971-0009-05
06315729-ALC 1,CER CHIP C;10U 10% X7R 1206 25V,SAMSUNG,CL31Y106KAKVPNE,2,12499,SAMSUNG ELECTRO-MECHANICS,112,100,6971-0009-05
06315729-ALC 2,CER CHIP C;10U 10% X7R 1206 25V,TDK,CGA5L1X7R1E106KT0Y0E,2,12026,TDK TAIWAN ELECTRONICS CORP.,112,100,6971-0009-05
06315729-ALC 3,CER CHIP C;10U 10% X7R 1206 25V,MURATA,GCM31CC71E106KA03L,2,13271,"MuRata Electronics North America, I",112,100,6971-0009-05
06315742-AL1,CER CHIP C;1000P 10% X7R 0603 100V,,,2,,,154,100,6971-0009-05
06315742-AL1 1,CER CHIP C;1000P 10% X7R 0603 100V,MURATA,GCJ188R72A102KA01D,2,13271,"MuRata Electronics North America, I",154,100,6971-0009-05
06315742-AL1 2,CER CHIP C;1000P 10% X7R 0603 100V,TDK,CGA3E2X7R2A102KT0Y0S,2,12026,TDK TAIWAN ELECTRONICS CORP.,154,100,6971-0009-05
06315743-AL1,CER CHIP C;10U 10% X7R 1206 25V,,,3,,,154,100,6971-0009-05
06315743-AL1 1,CER CHIP C;10U 10% X7R 1206 25V,TDK,CGA5L1X7R1E106KT0Y0S,3,12026,TDK TAIWAN ELECTRONICS CORP.,154,100,6971-0009-05
06315743-AL1 2,CER CHIP C;10U 10% X7R 1206 25V,MURATA,GCJ31CC71E106KA15L,3,,,154,100,6971-0009-05
06315743-AL1 3,CER CHIP C;10U 10% X7R 1206 25V,SAMSUNG,CL31Y106KAKVPNE,3,,,154,100,6971-0009-05
06345725-AL1,CER CHIP C;4.7U 10% X7R 1206 35V Auto,,,2,,,112,100,6971-0009-05
06345725-AL1 1,CER CHIP C;4.7U 10% X7R 1206 35V Auto,TDK,CGA5L1X7R1V475KT0Y0S,2,,,112,100,6971-0009-05
06345725-AL1 2,CER CHIP C;4.7U 10% X7R 1206 35V Auto,MURATA,GCJ31CR71E475KA12L,2,13271,"MuRata Electronics North America, I",112,100,6971-0009-05
18016203-AL1,CHIP RES;100K 0.1% 25PPM 0603 1/10W,,,1,,,99,100,6971-0009-05
18016203-AL1 1,CHIP RES;100K 0.1% 25PPM 0603 1/10W,VISHAY,MCT0603MD1003BP100,1,11489,"Fullyearn Co., Ltd",99,100,6971-0009-05
18016203-AL1 2,CHIP RES;100K 0.1% 25PPM 0603 1/10W,VISHAY,MCT0603MD1003BP500,1,,,99,100,6971-0009-05
18105707-AL1,CHIP RES;0R +0.05R 200PPM 0805 1/10W,,,12,,,112,100,6971-0009-05
18105707-AL1 1,CHIP RES;0R +0.05R 200PPM 0805 1/10W,KOA,RK73Z2ATTD,12,,,112,100,6971-0009-05
18105707-AL1 2,CHIP RES;0R +0.05R 200PPM 0805 1/10W,WALSIN,MR08X000 PTL,12,,,112,100,6971-0009-05
18105707-AL1 3,CHIP RES;0R +0.05R 200PPM 0805 1/10W,VISHAY,CRCW08050000Z0EAE3,12,,,112,100,6971-0009-05
18105707-AL1 4,CHIP RES;0R +0.05R 200PPM 0805 1/10W,YAGEO,AC0805JR-070RL,12,10184,YAGEO CORPORATION,112,100,6971-0009-05
18105715-AL1,CHIP RES;1.8R 1% 200PPM 1206 1/4W,,,2,,,98,100,6971-0009-05
18105715-AL1 1,CHIP RES;1.8R 1% 200PPM 1206 1/4W,KOA,RK73H2BTTD1R80F,2,10646,MOUSER ELECTRONICS INC.,98,100,6971-0009-05
18105715-AL1 2,CHIP RES;1.8R 1% 200PPM 1206 1/4W,VISHAY,CRCW12061R80FKEA,2,,,98,100,6971-0009-05
18105715-AL1 3,CHIP RES;1.8R 1% 200PPM 1206 1/4W,WALSIN,MR12W1R80FTLV,2,10271,WALSIN TECHNOLOGY CORPORATION,98,100,6971-0009-05
18105715-AL1 4,CHIP RES;1.8R 1% 200PPM 1206 1/4W,YAGEO,AC1206FR-071R8L,2,,,98,100,6971-0009-05
18105769-AL1,CHIP RES;0R 5% 0603 1/10W,,,3,,,69,100,6971-0009-05
18105769-AL1 1,CHIP RES;0R 5% 0603 1/10W,VISHAY,CRCW06030000Z0EA,3,11187,Vishay Americas Inc,69,100,6971-0009-05
18106244-ALM201,RES;3R 1% -200~+400PPM 0805 1/8W Anti S,,,2,,,98,100,6971-0009-05
18106244-ALM201 1,RES;3R 1% -200~+400PPM 0805 1/8W Anti S,WALSIN,MR08W3R00FTLV,2,10271,WALSIN TECHNOLOGY CORPORATION,98,100,6971-0009-05
18106244-ALM201 2,RES;3R 1% -200~+400PPM 0805 1/8W Anti S,KOA,RK73H2ATTD3R00F,2,,,98,100,6971-0009-05
18106244-ALM201 3,RES;3R 1% -200~+400PPM 0805 1/8W Anti S,VISHAY,CRCW08053R00FKEA,2,,,98,100,6971-0009-05
18106245-ALM202,RES;3R 1% -200~+400PPM 0805 1/8W Anti S,,,2,,,98,100,6971-0009-05
18106245-ALM202 1,RES;3R 1% -200~+400PPM 0805 1/8W Anti S,WALSIN,MR08W3R00FTLV,2,,,98,100,6971-0009-05
18106245-ALM202 2,RES;3R 1% -200~+400PPM 0805 1/8W Anti S,KOA,RK73H2ATTD3R00F,2,,,98,100,6971-0009-05
18106245-ALM202 3,RES;3R 1% -200~+400PPM 0805 1/8W Anti S,VISHAY,CRCW08053R00FKEA,2,,,98,100,6971-0009-05
18106246-ALM203,RES;3R 1% -200~+400PPM 0805 1/8W Anti S,,,2,,,98,100,6971-0009-05
18106246-ALM203 1,RES;3R 1% -200~+400PPM 0805 1/8W Anti S,WALSIN,MR08W3R00FTLV,2,10271,WALSIN TECHNOLOGY CORPORATION,98,100,6971-0009-05
18106246-ALM203 2,RES;3R 1% -200~+400PPM 0805 1/8W Anti S,KOA,RK73H2ATTD3R00F,2,,,98,100,6971-0009-05
18106246-ALM203 3,RES;3R 1% -200~+400PPM 0805 1/8W Anti S,VISHAY,CRCW08053R00FKEA,2,,,98,100,6971-0009-05
18106247-ALM204,RES;3R 1% -200~+400PPM 0805 1/8W Anti S,,,2,,,98,100,6971-0009-05
18106247-ALM204 1,RES;3R 1% -200~+400PPM 0805 1/8W Anti S,WALSIN,MR08W3R00FTLV,2,10271,WALSIN TECHNOLOGY CORPORATION,98,100,6971-0009-05
18106247-ALM204 2,RES;3R 1% -200~+400PPM 0805 1/8W Anti S,KOA,RK73H2ATTD3R00F,2,,,98,100,6971-0009-05
18106247-ALM204 3,RES;3R 1% -200~+400PPM 0805 1/8W Anti S,VISHAY,CRCW08053R00FKEA,2,,,98,100,6971-0009-05
18106260-ALM209,CHIP RES;3.9R 1% 100PPM 0805 1/8W,,,2,,,98,100,6971-0009-05
18106260-ALM209 1,CHIP RES;3.9R 1% 100PPM 0805 1/8W,KOA,RK73H2ATTD3R90F,2,,,98,100,6971-0009-05
18106260-ALM209 2,CHIP RES;3.9R 1% 100PPM 0805 1/8W,WALSIN,MR08W3R90FTL,2,10271,WALSIN TECHNOLOGY CORPORATION,98,100,6971-0009-05
18106260-ALM209 3,CHIP RES;3.9R 1% 100PPM 0805 1/8W,VISHAY,CRCW08053R90FKEA,2,,,98,100,6971-0009-05
18106260-ALM209 4,CHIP RES;3.9R 1% 100PPM 0805 1/8W,YAGEO,AC0805FR-073R9L,2,,,98,100,6971-0009-05
18106261-ALM210,CHIP RES;3.9R 1% 100PPM 0805 1/8W,,,2,,,98,100,6971-0009-05
18106261-ALM210 1,CHIP RES;3.9R 1% 100PPM 0805 1/8W,KOA,RK73H2ATTD3R90F,2,,,98,100,6971-0009-05
18106261-ALM210 2,CHIP RES;3.9R 1% 100PPM 0805 1/8W,WALSIN,MR08W3R90FTL,2,10271,WALSIN TECHNOLOGY CORPORATION,98,100,6971-0009-05
18106261-ALM210 3,CHIP RES;3.9R 1% 100PPM 0805 1/8W,VISHAY,CRCW08053R90FKEA,2,,,98,100,6971-0009-05
18106261-ALM210 4,CHIP RES;3.9R 1% 100PPM 0805 1/8W,YAGEO,AC0805FR-073R9L,2,,,98,100,6971-0009-05
18106262-ALM211,CHIP RES;3.9R 1% 100PPM 0805 1/8W,,,2,,,98,100,6971-0009-05
18106262-ALM211 1,CHIP RES;3.9R 1% 100PPM 0805 1/8W,KOA,RK73H2ATTD3R90F,2,,,98,100,6971-0009-05
18106262-ALM211 2,CHIP RES;3.9R 1% 100PPM 0805 1/8W,WALSIN,MR08W3R90FTL,2,10271,WALSIN TECHNOLOGY CORPORATION,98,100,6971-0009-05
18106262-ALM211 3,CHIP RES;3.9R 1% 100PPM 0805 1/8W,VISHAY,CRCW08053R90FKEA,2,,,98,100,6971-0009-05
18106262-ALM211 4,CHIP RES;3.9R 1% 100PPM 0805 1/8W,YAGEO,AC0805FR-073R9L,2,,,98,100,6971-0009-05
18106263-ALM212,CHIP RES;3.9R 1% 100PPM 0805 1/8W,,,2,,,98,100,6971-0009-05
18106263-ALM212 1,CHIP RES;3.9R 1% 100PPM 0805 1/8W,KOA,RK73H2ATTD3R90F,2,,,98,100,6971-0009-05
18106263-ALM212 2,CHIP RES;3.9R 1% 100PPM 0805 1/8W,WALSIN,MR08W3R90FTL,2,10271,WALSIN TECHNOLOGY CORPORATION,98,100,6971-0009-05
18106263-ALM212 3,CHIP RES;3.9R 1% 100PPM 0805 1/8W,VISHAY,CRCW08053R90FKEA,2,,,98,100,6971-0009-05
18106263-ALM212 4,CHIP RES;3.9R 1% 100PPM 0805 1/8W,YAGEO,AC0805FR-073R9L,2,,,98,100,6971-0009-05
18106268-ALM301,CHIP RES;8.2R 1% 100PPM 0805 1/8W,,,5,,,98,100,6971-0009-05
18106268-ALM301 1,CHIP RES;8.2R 1% 100PPM 0805 1/8W,VISHAY,CRCW08058R20FKEA,5,,,98,100,6971-0009-05
18106268-ALM301 2,CHIP RES;8.2R 1% 100PPM 0805 1/8W,KOA,RK73H2ATTD8R20F,5,,,98,100,6971-0009-05
18106268-ALM301 3,CHIP RES;8.2R 1% 100PPM 0805 1/8W,WALSIN,MR08W8R20FTL,5,10271,WALSIN TECHNOLOGY CORPORATION,98,100,6971-0009-05
18106269-ALM302,CHIP RES;8.2R 1% 100PPM 0805 1/8W,,,5,,,98,100,6971-0009-05
18106269-ALM302 1,CHIP RES;8.2R 1% 100PPM 0805 1/8W,VISHAY,CRCW08058R20FKEA,5,,,98,100,6971-0009-05
18106269-ALM302 2,CHIP RES;8.2R 1% 100PPM 0805 1/8W,KOA,RK73H2ATTD8R20F,5,,,98,100,6971-0009-05
18106269-ALM302 3,CHIP RES;8.2R 1% 100PPM 0805 1/8W,WALSIN,MR08W8R20FTL,5,10271,WALSIN TECHNOLOGY CORPORATION,98,100,6971-0009-05
18106270-ALM303,CHIP RES;8.2R 1% 100PPM 0805 1/8W,,,5,,,98,100,6971-0009-05
18106270-ALM303 1,CHIP RES;8.2R 1% 100PPM 0805 1/8W,VISHAY,CRCW08058R20FKEA,5,,,98,100,6971-0009-05
18106270-ALM303 2,CHIP RES;8.2R 1% 100PPM 0805 1/8W,KOA,RK73H2ATTD8R20F,5,,,98,100,6971-0009-05
18106270-ALM303 3,CHIP RES;8.2R 1% 100PPM 0805 1/8W,WALSIN,MR08W8R20FTL,5,10271,WALSIN TECHNOLOGY CORPORATION,98,100,6971-0009-05
18106271-ALM304,CHIP RES;8.2R 1% 100PPM 0805 1/8W,,,5,,,98,100,6971-0009-05
18106271-ALM304 1,CHIP RES;8.2R 1% 100PPM 0805 1/8W,VISHAY,CRCW08058R20FKEA,5,,,98,100,6971-0009-05
18106271-ALM304 2,CHIP RES;8.2R 1% 100PPM 0805 1/8W,KOA,RK73H2ATTD8R20F,5,,,98,100,6971-0009-05
18106271-ALM304 3,CHIP RES;8.2R 1% 100PPM 0805 1/8W,WALSIN,MR08W8R20FTL,5,10271,WALSIN TECHNOLOGY CORPORATION,98,100,6971-0009-05
18107148-AL1,CHIP RES;0R 5% 200PPM 0402 1/16W,,,2,,,98,100,6971-0009-05
18107148-AL1 1,CHIP RES;0R 5% 200PPM 0402 1/16W,FENGHUA,ABC02000FT,2,,,98,100,6971-0009-05
18107148-AL1 2,CHIP RES;0R 5% 200PPM 0402 1/16W,VISHAY,CRCW04020000Z0ED,2,,,98,100,6971-0009-05
18107148-AL1 3,CHIP RES;0R 5% 200PPM 0402 1/16W,ROHM,MCR01SMQPJ000,2,,,98,100,6971-0009-05
18107148-AL1 4,CHIP RES;0R 5% 200PPM 0402 1/16W,PANASONIC,ERJ2GE0R00X,2,,,98,100,6971-0009-05
18107148-AL1 5,CHIP RES;0R 5% 200PPM 0402 1/16W,WALSIN,WR04X000PTLJ,2,10271,WALSIN TECHNOLOGY CORPORATION,98,100,6971-0009-05
18107148-AL1 6,CHIP RES;0R 5% 200PPM 0402 1/16W,VIKING,CR-02JA6----0R,2,,,98,100,6971-0009-05
18107148-AL1 7,CHIP RES;0R 5% 200PPM 0402 1/16W,YAGEO,AC0402JR-070RL,2,,,98,100,6971-0009-05
18107156-ALM125,CHIP RES;22R 1% 100PPM 0805 1/8W,,,6,,,84,100,6971-0009-05
18107156-ALM125 1,CHIP RES;22R 1% 100PPM 0805 1/8W,KOA,RK73H2ATTD22R0F,6,,,84,100,6971-0009-05
18107156-ALM125 2,CHIP RES;22R 1% 100PPM 0805 1/8W,VISHAY,CRCW080522R0FKEA,6,,,84,100,6971-0009-05
18107156-ALM125 3,CHIP RES;22R 1% 100PPM 0805 1/8W,WALSIN,MR08X22R0FTL,6,,,84,100,6971-0009-05
18107157-ALM126,CHIP RES;22R 1% 100PPM 0805 1/8W,,,6,,,84,100,6971-0009-05
18107157-ALM126 1,CHIP RES;22R 1% 100PPM 0805 1/8W,KOA,RK73H2ATTD22R0F,6,,,84,100,6971-0009-05
